match_id,period_1_score,period_2_score,period_3_score,period_4_score,period_5_score,period_1_play_score,period_2_play_score,period_3_play_score,period_4_play_score,period_5_play_score,current_display,start_date,current_play_score
11999010,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999011,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999012,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999013,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999014,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999209,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999210,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999211,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999212,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999213,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999215,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999219,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999220,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12001976,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002040,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002041,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002042,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002043,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002044,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002048,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002049,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002050,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002051,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002052,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002053,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002055,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002057,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002058,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002060,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002064,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002065,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002068,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002078,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002109,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12002112,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12010829,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12010830,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12011297,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12011301,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12011306,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12014547,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12016976,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017442,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017453,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017455,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017458,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017459,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017462,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017463,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
