match_id,full_name,height
12027058,"Kuzmanov, Dimitar",1.83
12027059,"Milev, Yanaki",1.8
12027148,"Dencheva, Rositsa",
12027227,"Mensik, Jakub",1.93
12027230,"Lehečka, Jiří",1.85
12027231,"Lehečka, Jiří",1.85
12027491,"Erhard, Mathys",1.88
12027494,"Zolotareva, Anastasia",
12027531,"Agwi, Michael",
12027533,"O`Hoisin, Osgar",1.93
12027535,"Agwi, Michael",
12027539,"Wong, Hong Yi Cody",
12027541,"Čilić, Marin",1.98
12027545,"Ajduković, Duje",1.88
12027547,"Ponchet, Jessika",
12027611,"Bolkvadze, Mariam",
12027640,"Noskova, Linda",1.79
12027641,"Bouzkova, Marie",1.8
12027643,"Koike, Ena",
12027644,"Serban, Raluca Georgiana",
12027645,"Papamichail, Despina",1.78
12027646,"Bronzetti, Lucia",1.7
12027647,"Dolehide, Caroline",1.78
12027648,"Sasnovich, Aliaksandra",1.74
12027649,"Kenin, Sofia",1.7
12027651,"Sorribes Tormo, Sara",1.76
12027652,"Sonobe, Wakana",
12027653,"Šrámková, Rebecca",1.79
12027654,"Masarova, Rebeka",1.86
12027665,"Sakatsume, Himeno",
12027666,"Grammatikopoulou, Valentini",1.64
12027667,"Radanović, Dejana",
12027669,"Liang, En-Shuo",
12027672,"Abduraimova, Nigina",1.82
12027673,"Sawant, Madhurima",
12027674,"Desai, Zeel",
12027677,"Stollar, Fanny",1.72
12027678,"Kulambayeva, Zhibek",
12027679,"Morvayova, Viktoria",
12027680,"Plipuech, Peangtarn",1.69
12027802,"Thanos, Aristotelis",
12027803,"Tsitsipas, Stefanos",1.93
12027804,"Tsitsipas, Stefanos",1.93
12027905,"Etcheverry, Tomas Martin",1.96
12027906,"Cerundolo, Francisco",1.85
12027918,"Prado Angelo, Juan Carlos",1.85
12027919,"Dellien Velasco, Murkel Alejandro",1.93
12027948,"Aguilar Cardozo, Joaquin",
12027949,"Roncadelli, Franco",1.85
12027950,"Jorge, Francisca",
12027972,Vallejo Daniel,1.83
12027973,"Bassols Ribera, Marina",1.65
12027974,"Szabo, Briana",
12027975,"Cornet, Alize",1.73
12027976,"Arango, Emiliana",
12027977,"Kolb, Nadiya",
12027978,"Dart, Harriet",1.75
12027979,"Bondar, Anna",1.75
12027980,"Gamiz, Andrea",1.62
12027981,"Kraus, Sinja",
12027982,"Andreeva, Erika",
